Date,Year,Approve,Disapprove,No Opinion,True Approval
2018 Dec 3-12,2018,18,75,7,19.355
2018 Nov 1-11,2018,21,74,5,22.105
2018 Oct 15-28,2018,21,74,6,22.105
2018 Oct 1-10,2018,21,73,6,22.340
2018 Sep 4-12,2018,19,76,5,20.000
2018 Aug 1-12,2018,17,78,5,17.895
2018 Jul 1-11,2018,17,77,6,18.085
2018 Jun 1-13,2018,19,76,4,20.000
2018 May 1-10,2018,17,79,4,17.708
2018 Apr 2-11,2018,18,78,4,18.750
2018 Mar 1-8,2018,15,79,6,15.957
2018 Feb 1-10,2018,15,81,4,15.625
2018 Jan 2-7,2018,20,75,5,21.053
2017 Dec 4-11,2017,17,78,5,17.895
2017 Nov 2-8,2017,13,81,6,13.830
2017 Oct 5-11,2017,13,80,7,13.978
2017 Sep 6-10,2017,16,80,5,16.667
2017 Aug 2-6,2017,16,79,6,16.842
2017 Jul 5-9,2017,20,74,7,21.277
2017 Jun 7-11,2017,21,72,7,22.581
2017 May 3-7,2017,20,74,6,21.277
2017 Apr 5-9,2017,20,74,6,21.277
2017 Mar 1-5,2017,24,67,9,26.374
2017 Feb 1-5,2017,28,67,5,29.474
2017 Jan 4-8,2017,19,76,5,20.000
2016 Dec 7-11,2016,18,78,4,18.750
2016 Nov 9-13,2016,19,74,7,20.430
2016 Oct 5-9,2016,18,79,3,18.557
2016 Sep 7-11,2016,20,76,5,20.833
2016 Aug 3-7,2016,18,78,4,18.750
2016 Jul 13-17,2016,13,83,4,13.542
2016 Jun 1-5,2016,16,80,4,16.667
2016 May 4-8,2016,18,78,4,18.750
2016 Apr 6-10,2016,17,79,4,17.708
2016 Mar 2-6,2016,13,84,3,13.402
2016 Feb 3-7,2016,14,81,4,14.737
2016 Jan 6-10,2016,16,80,4,16.667
2015 Dec 2-6,2015,13,82,5,13.684
2015 Nov 4-8,2015,11,86,3,11.340
2015 Oct 7-11,2015,13,82,4,13.684
2015 Sep 9-13,2015,14,83,2,14.433
2015 Aug 5-9,2015,14,82,5,14.583
2015 Jul 8-12,2015,17,78,5,17.895
2015 Jun 2-7,2015,17,79,4,17.708
2015 May 6-10,2015,19,77,5,19.792
2015 Apr 9-12,2015,15,80,5,15.789
2015 Mar 5-8,2015,18,75,7,19.355
2015 Feb 8-11,2015,20,75,5,21.053
2015 Jan 5-8,2015,16,76,8,17.391
2014 Dec 8-11,2014,16,80,4,16.667
2014 Nov 6-9,2014,15,79,6,15.957
2014 Oct 29-Nov 2,2014,20,75,5,21.053
2014 Oct 12-15,2014,14,82,4,14.583
2014 Sep 4-7,2014,14,82,4,14.583
2014 Aug 7-10,2014,13,83,4,13.542
2014 Jul 7-10,2014,15,80,5,15.789
2014 Jun 5-8,2014,16,81,3,16.495
2014 May 8-11,2014,15,80,6,15.789
2014 Apr 3-6,2014,13,83,3,13.542
2014 Mar 6-9,2014,15,83,2,15.306
2014 Feb 6-9,2014,12,83,6,12.632
2014 Jan 5-8,2014,13,82,5,13.684
2013 Dec 5-8,2013,12,85,3,12.371
2013 Nov 7-10,2013,9,86,5,9.474
2013 Oct 3-6,2013,11,85,4,11.458
2013 Sep 5-8,2013,19,76,5,20.000
2013 Aug 7-11,2013,14,81,5,14.737
2013 Jul 10-14,2013,15,78,7,16.129
2013 Jun 1-4,2013,17,78,5,17.895
2013 May 2-7,2013,16,79,5,16.842
